REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	10-18-2012	
2011	CHIEF EXECUTIVE OFFICER	KIM VANDERMEULEN	04364LTRNT3BSUM	ALTERNATIVE MANUFACTURING INC	30 SUMMER ST SUITE B	WINTHROP	KENNEBEC	ME	04364	ALTERNATIVE MANUFACTURING INC	30 SUMMER ST SUITE B	WINTHROP	ME		04364	YES	NO	NO	NO	KIM VANDERMEULEN	2073779377	3672							334418						44.30881	-69.974975	168543952								ELECTRONIC SERVICES CORP OF AMERICA	168543952	NO	KVANDERMEULEN@ALTMFG.COM	
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	MGR, EHS&S	JACK MCCROSSIN	04116STHPR102ME	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	CUMBERLAND	ME	04106	CITGO PETROLEUM CORP SOUTH PORTLAND TERMINAL	102 MECHANIC ST	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	FERNANDO GARAY	8324861489	5171							424710						43.635	-70.265556	859754004								CITGO PETROLEUM CORP	102417268	NO		
2011	PLANT MANAGER	RAYMOND DEGRASS	04861DRGNPUSROU	DRAGON PRODUCTS CO	107 NEW COUNTY RD	THOMASTON	KNOX	ME	04861	DRAGON PRODUCTS CO	PO BOX 191	THOMASTON	ME		04861	YES	NO	NO	NO	MICHAEL MARTUNAS	2075930147	3241							327310						44.089652	-69.150949									GIANT CEMENT HOLDING INC	869563304	NO	MMARTUNAS@DRAGONPRODUCTS.COM	
2011	PLANT MANAGER	RAYMOND DEGRASS	04861DRGNPUSROU	DRAGON PRODUCTS CO	107 NEW COUNTY RD	THOMASTON	KNOX	ME	04861	DRAGON PRODUCTS CO	PO BOX 191	THOMASTON	ME		04861	YES	NO	NO	NO	MICHAEL MARTUNAS	2075930147	3241							327310						44.089652	-69.150949									GIANT CEMENT HOLDING INC	869563304	NO	MMARTUNAS@DRAGONPRODUCTS.COM	
2011	PLANT MANAGER	RAYMOND DEGRASS	04861DRGNPUSROU	DRAGON PRODUCTS CO	107 NEW COUNTY RD	THOMASTON	KNOX	ME	04861	DRAGON PRODUCTS CO	PO BOX 191	THOMASTON	ME		04861	YES	NO	NO	NO	MICHAEL MARTUNAS	2075930147	3241							327310						44.089652	-69.150949									GIANT CEMENT HOLDING INC	869563304	NO	MMARTUNAS@DRAGONPRODUCTS.COM	
2011	PLANT MANAGER	RAYMOND DEGRASS	04861DRGNPUSROU	DRAGON PRODUCTS CO	107 NEW COUNTY RD	THOMASTON	KNOX	ME	04861	DRAGON PRODUCTS CO	PO BOX 191	THOMASTON	ME		04861	YES	NO	NO	NO	MICHAEL MARTUNAS	2075930147	3241							327310						44.089652	-69.150949									GIANT CEMENT HOLDING INC	869563304	NO	MMARTUNAS@DRAGONPRODUCTS.COM	
2011	PLANT MANAGER	RAYMOND DEGRASS	04861DRGNPUSROU	DRAGON PRODUCTS CO	107 NEW COUNTY RD	THOMASTON	KNOX	ME	04861	DRAGON PRODUCTS CO	PO BOX 191	THOMASTON	ME		04861	YES	NO	NO	NO	MICHAEL MARTUNAS	2075930147	3241							327310						44.089652	-69.150949									GIANT CEMENT HOLDING INC	869563304	NO	MMARTUNAS@DRAGONPRODUCTS.COM	
2011	PLANT MANAGER	RAYMOND DEGRASS	04861DRGNPUSROU	DRAGON PRODUCTS CO	107 NEW COUNTY RD	THOMASTON	KNOX	ME	04861	DRAGON PRODUCTS CO	PO BOX 191	THOMASTON	ME		04861	YES	NO	NO	NO	MICHAEL MARTUNAS	2075930147	3241							327310						44.089652	-69.150949									GIANT CEMENT HOLDING INC	869563304	NO	MMARTUNAS@DRAGONPRODUCTS.COM	
2011	PLANT MANAGER	RAYMOND DEGRASS	04861DRGNPUSROU	DRAGON PRODUCTS CO	107 NEW COUNTY RD	THOMASTON	KNOX	ME	04861	DRAGON PRODUCTS CO	PO BOX 191	THOMASTON	ME		04861	YES	NO	NO	NO	MICHAEL MARTUNAS	2075930147	3241							327310						44.089652	-69.150949									GIANT CEMENT HOLDING INC	869563304	NO	MMARTUNAS@DRAGONPRODUCTS.COM	
2011	PLANT MANAGER	RAYMOND DEGRASS	04861DRGNPUSROU	DRAGON PRODUCTS CO	107 NEW COUNTY RD	THOMASTON	KNOX	ME	04861	DRAGON PRODUCTS CO	PO BOX 191	THOMASTON	ME		04861	YES	NO	NO	NO	MICHAEL MARTUNAS	2075930147	3241							327310						44.089652	-69.150949									GIANT CEMENT HOLDING INC	869563304	NO	MMARTUNAS@DRAGONPRODUCTS.COM	
2011	PLANT MANAGER	RAYMOND DEGRASS	04861DRGNPUSROU	DRAGON PRODUCTS CO	107 NEW COUNTY RD	THOMASTON	KNOX	ME	04861	DRAGON PRODUCTS CO	PO BOX 191	THOMASTON	ME		04861	YES	NO	NO	NO	MICHAEL MARTUNAS	2075930147	3241							327310						44.089652	-69.150949									GIANT CEMENT HOLDING INC	869563304	NO	MMARTUNAS@DRAGONPRODUCTS.COM	
2011	PLANT MANAGER	JOE HORNYAK	04401LDRCR448GR	ELDUR CORP	448 GRIFFIN RD	BANGOR	PENOBSCOT	ME	04401	ELDUR CORP	448 GRIFFIN RD	BANGOR	ME		04401	YES	NO	NO	NO	JOE HORNYAK	2079426592	3679							335110						44.81563	-68.818445	949012876								ELDUR AG SWITZERLAND		NO	JOSEPH.HORNYAK@DIETZEGROUP.COM	
2011	QUALITY/ENVIRONMENTAL MANAGER	PAUL FORGUES	04240PHLPS1560L	ELMET TECHNOLOGIES INC	1560 LISBON ST	LEWISTON	ANDROSCOGGIN	ME	04240	ELMET TECHNOLOGIES INC	1560 LISBON ST	LEWISTON	ME		04240	YES	NO	NO	NO	PAUL FORGUES	2073336202	3356	3641						331491	335110					44.071632	-70.171461	138923573										NO	PFORGUES@ELMETTECH.COM	
2011	QUALITY/ENVIRONMENTAL MANAGER	PAUL FORGUES	04240PHLPS1560L	ELMET TECHNOLOGIES INC	1560 LISBON ST	LEWISTON	ANDROSCOGGIN	ME	04240	ELMET TECHNOLOGIES INC	1560 LISBON ST	LEWISTON	ME		04240	YES	NO	NO	NO	PAUL FORGUES	2073336202	3356	3641						331491	335110					44.071632	-70.171461	138923573										NO	PFORGUES@ELMETTECH.COM	
2011	QUALITY/ENVIRONMENTAL MANAGER	PAUL FORGUES	04240PHLPS1560L	ELMET TECHNOLOGIES INC	1560 LISBON ST	LEWISTON	ANDROSCOGGIN	ME	04240	ELMET TECHNOLOGIES INC	1560 LISBON ST	LEWISTON	ME		04240	YES	NO	NO	NO	PAUL FORGUES	2073336202	3356	3641						331491	335110					44.071632	-70.171461	138923573										NO	PFORGUES@ELMETTECH.COM	
2011	QUALITY/ENVIRONMENTAL MANAGER	PAUL FORGUES	04240PHLPS1560L	ELMET TECHNOLOGIES INC	1560 LISBON ST	LEWISTON	ANDROSCOGGIN	ME	04240	ELMET TECHNOLOGIES INC	1560 LISBON ST	LEWISTON	ME		04240	YES	NO	NO	NO	PAUL FORGUES	2073336202	3356	3641						331491	335110					44.071632	-70.171461	138923573										NO	PFORGUES@ELMETTECH.COM	
2011	PLANT MANAGER	DREW SCOTT	04073CYRNDINDUS	EVONIK CYRO LLC	1796 MAIN ST	SANFORD	YORK	ME	04073	EVONIK CYRO LLC	1796 MAIN ST	SANFORD	ME		04073	YES	NO	NO	NO	DREW R. SCOTT	2074904245	3081	2821						326113						43.403056	-70.7125	040249096								EVONIK INDUSTRIES	068209295	NO	DREW.SCOTT@EVONIK.COM	
2011	PLANT MANAGER	DREW SCOTT	04073CYRNDINDUS	EVONIK CYRO LLC	1796 MAIN ST	SANFORD	YORK	ME	04073	EVONIK CYRO LLC	1796 MAIN ST	SANFORD	ME		04073	YES	NO	NO	NO	DREW R. SCOTT	2074904245	3081	2821						326113						43.403056	-70.7125	040249096								EVONIK INDUSTRIES	068209295	NO	DREW.SCOTT@EVONIK.COM	
2011	PLANT MANAGER	DREW SCOTT	04073CYRNDINDUS	EVONIK CYRO LLC	1796 MAIN ST	SANFORD	YORK	ME	04073	EVONIK CYRO LLC	1796 MAIN ST	SANFORD	ME		04073	YES	NO	NO	NO	DREW R. SCOTT	2074904245	3081	2821						326113						43.403056	-70.7125	040249096								EVONIK INDUSTRIES	068209295	NO	DREW.SCOTT@EVONIK.COM	
2011	PLANT MANAGER	DREW SCOTT	04073CYRNDINDUS	EVONIK CYRO LLC	1796 MAIN ST	SANFORD	YORK	ME	04073	EVONIK CYRO LLC	1796 MAIN ST	SANFORD	ME		04073	YES	NO	NO	NO	DREW R. SCOTT	2074904245	3081	2821						326113						43.403056	-70.7125	040249096								EVONIK INDUSTRIES	068209295	NO	DREW.SCOTT@EVONIK.COM	
2011	VICE PRESIDENT	J NEY	04073XPNDDONERI	EXPANDED RUBBER PRODUCTS INC	81 INDUSTRIAL AVE	SANFORD	YORK	ME	04073	EXPANDED RUBBER PRODUCTS INC	PO BOX  1070	SANFORD	ME		04073	YES	NO	NO	NO	CLAYTON NEY JR	2073248226	3069							326299						43.40298	-70.69818	044119162								EXPANDED RUBBER PRODUCTS INC	044119162	NO	CLAYTONNEY@EXPANDEDRUBBERPRODUCTS.COM	
2011	VICE PRESIDENT	J NEY	04073XPNDDONERI	EXPANDED RUBBER PRODUCTS INC	81 INDUSTRIAL AVE	SANFORD	YORK	ME	04073	EXPANDED RUBBER PRODUCTS INC	PO BOX  1070	SANFORD	ME		04073	YES	NO	NO	NO	CLAYTON NEY JR	2073248226	3069							326299						43.40298	-70.69818	044119162								EXPANDED RUBBER PRODUCTS INC	044119162	NO	CLAYTONNEY@EXPANDEDRUBBERPRODUCTS.COM	
2011	WORLDWIDE DIRECTOR, EHSS	KARL ALBRECHT	04106NTNLS333WE	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	CUMBERLAND	ME	04106	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	JULIE MOODIE	2077613127	3674							334413						43.640687	-70.325903	004895751								FAIRCHILD SEMICONDUCTOR CORP	004895751	NO	JULIE.MOODIE@FAIRCHILDSEMI.COM	
2011	WORLDWIDE DIRECTOR, EHSS	KARL ALBRECHT	04106NTNLS333WE	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	CUMBERLAND	ME	04106	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	JULIE MOODIE	2077613127	3674							334413						43.640687	-70.325903	004895751								FAIRCHILD SEMICONDUCTOR CORP	004895751	NO	JULIE.MOODIE@FAIRCHILDSEMI.COM	
2011	WORLDWIDE DIRECTOR, EHSS	KARL ALBRECHT	04106NTNLS333WE	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	CUMBERLAND	ME	04106	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	JULIE MOODIE	2077613127	3674							334413						43.640687	-70.325903	004895751								FAIRCHILD SEMICONDUCTOR CORP	004895751	NO	JULIE.MOODIE@FAIRCHILDSEMI.COM	
2011	WORLDWIDE DIRECTOR, EHSS	KARL ALBRECHT	04106NTNLS333WE	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	CUMBERLAND	ME	04106	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	JULIE MOODIE	2077613127	3674							334413						43.640687	-70.325903	004895751								FAIRCHILD SEMICONDUCTOR CORP	004895751	NO	JULIE.MOODIE@FAIRCHILDSEMI.COM	
2011	WORLDWIDE DIRECTOR, EHSS	KARL ALBRECHT	04106NTNLS333WE	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	CUMBERLAND	ME	04106	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	ME		04106	YES	NO	NO	NO	JULIE MOODIE	2077613127	3674							334413						43.640687	-70.325903	004895751								FAIRCHILD SEMICONDUCTOR CORP	004895751	NO	JULIE.MOODIE@FAIRCHILDSEMI.COM	
2011	EHS ASSISTANT MANAGER	STEPHEN WRIGHT	04005FBRMT5MORI	FIBER MATERIALS INC	5 MORIN ST	BIDDEFORD	YORK	ME	04005	FIBER MATERIALS INC	5 MORIN ST	BIDDEFORD	ME		04005	YES	NO	NO	NO	JENNIFER BEEDY	2072825911	3764	3624						335991						43.470512	-70.490795	048268890								GRAFTECH INTERNATIONAL LTD	877176578	NO	JCBEEDY@FIBERMATERIALSINC.COM	
2011	VP OPERATIONS	KEITH HAGELIN	04841FSHRN50GOR	FISHER ENGINEERING	50 GORDON DR	ROCKLAND	KNOX	ME	04841	FISHER ENGINEERING	PO BOX 529	ROCKLAND	ME		04841	YES	NO	NO	NO	KEITH HAGELIN	2077014240	3531							333120						44.089902	-69.122678	193272283								DOUGLAS DYNAMICS HOLDINGS INC		NO		
2011	VP OPERATIONS	KEITH HAGELIN	04841FSHRN50GOR	FISHER ENGINEERING	50 GORDON DR	ROCKLAND	KNOX	ME	04841	FISHER ENGINEERING	PO BOX 529	ROCKLAND	ME		04841	YES	NO	NO	NO	KEITH HAGELIN	2077014240	3531							333120						44.089902	-69.122678	193272283								DOUGLAS DYNAMICS HOLDINGS INC		NO		
2011	VP OPERATIONS	KEITH HAGELIN	04841FSHRN50GOR	FISHER ENGINEERING	50 GORDON DR	ROCKLAND	KNOX	ME	04841	FISHER ENGINEERING	PO BOX 529	ROCKLAND	ME		04841	YES	NO	NO	NO	KEITH HAGELIN	2077014240	3531							333120						44.089902	-69.122678	193272283								DOUGLAS DYNAMICS HOLDINGS INC		NO		
2011	PLANT MANAGER	DENNIS KEARNEY	04841FMCCRCROCK	FMC BIOPOLYMER	1 CROCKETT'S POINT	ROCKLAND	KNOX	ME	04841	FMC BIOPOLYMER	PO BOX 308	ROCKLAND	ME		04841	YES	NO	NO	NO	JANELLE GUNNING	2072263145	2099	2835						311999						44.106389	-69.105278	627573637								FMC CORP	093627156	NO		
2011	PLANT MANAGER	DENNIS KEARNEY	04841FMCCRCROCK	FMC BIOPOLYMER	1 CROCKETT'S POINT	ROCKLAND	KNOX	ME	04841	FMC BIOPOLYMER	PO BOX 308	ROCKLAND	ME		04841	YES	NO	NO	NO	JANELLE GUNNING	2072263145	2099	2835						311999						44.106389	-69.105278	627573637								FMC CORP	093627156	NO		
2011	PLANT MANAGER	DENNIS KEARNEY	04841FMCCRCROCK	FMC BIOPOLYMER	1 CROCKETT'S POINT	ROCKLAND	KNOX	ME	04841	FMC BIOPOLYMER	PO BOX 308	ROCKLAND	ME		04841	YES	NO	NO	NO	JANELLE GUNNING	2072263145	2099	2835						311999						44.106389	-69.105278	627573637								FMC CORP	093627156	NO		
2011	PLANT MANAGER	DENNIS KEARNEY	04841FMCCRCROCK	FMC BIOPOLYMER	1 CROCKETT'S POINT	ROCKLAND	KNOX	ME	04841	FMC BIOPOLYMER	PO BOX 308	ROCKLAND	ME		04841	YES	NO	NO	NO	JANELLE GUNNING	2072263145	2099	2835						311999						44.106389	-69.105278	627573637								FMC CORP	093627156	NO		
